LABEL,Date,Source,Title,Headline
inflation,2023-01-31,Reuters,U S house price inflation slows further in November Reuters,single family home price growth cooled further November surveys showed Tuesday which together with declining mortgage rates could help slow housing market slide deeper into recession
inflation,2023-01-27,Reuters,Gold little changed ahead of U S inflation data Reuters,Gold prices were little changed Friday traders awaited inflation data later gauge Federal Reserve stance further interest rate hikes
inflation,2023-02-01,Reuters,Traders see inflation falling this year JPMorgan survey Reuters,Most traders believe global inflation peaked while potential recession emerged main risk markets this year according survey released Wednesday
inflation,2023-02-02,Reuters,Zimbabwe cuts policy rate to after inflation falls Reuters,Zimbabwe central bank policy rate percentage points said statement Thursday driven downward trend inflation since late last year
inflation,2023-01-10,Reuters,Taking the down under on Aussie inflation Reuters,look ahead Asian markets from Jamie McGeever
inflation,2023-01-11,Reuters,Ghana inflation rises to y y in December Reuters,Ghana consumer inflation rose year year December from previous month statistics office said Wednesday
inflation,2023-01-11,Reuters,Futures edge higher as focus shifts to inflation data Reuters,stock index futures edged higher Wednesday with focus shifting December inflation reading later week which would provide clues aggressive Federal Reserve could monetary tightening this year
inflation,2023-01-09,Reuters,Mexico inflation ends at slightly below forecast Reuters com,Mexican consumer prices rose year through December national statistics agency said Monday slightly lower than expectations though still representing creep inflation
inflation,2023-01-12,Reuters,Sterling edges up as markets await U S inflation data Reuters,Sterling made marginal gains Thursday against dollar euro attention remained inflation data later session clues future rate hikes world largest economy
inflation,2023-01-12,Reuters,Indian shares seen opening higher inflation data eyed Reuters,Indian shares open higher Thursday line with broader markets investors waited with optimism data domestic inflation that could provide cues central banks rate hike path
inflation,2023-01-12,Reuters,Argentina government aims to undershoot inflation forecasts in Reuters,Argentina inflation expected rise December according median response from Reuters poll analysts though government hoping beat that keep consumer price increase below last month
inflation,2023-01-15,Reuters,Saudi inflation edges up to in December Reuters com,Saudi Arabia annual inflation rate ticked December from November government data showed Sunday with price rises again driven mainly housing costs
inflation,2023-01-16,Reuters,Sterling slips ahead of UK jobs inflation data Reuters,Sterling fell against euro dollar Monday with traders awaiting jobs inflation data later this week clues Bank England monetary policy plans
inflation,2023-01-31,Reuters,Brazil s Finance Ministry not discussing changes to inflation targets Reuters,Brazil economic policy secretary Guilherme Mello said Tuesday that discussions changing inflation targets were agenda Finance Ministry stressing that role economic team focus reforms reduce inflation inter
inflation,2023-01-15,Reuters,Israel posts inflation rate in Reuters com,Israel posted inflation rate Israel Central Bureau Statistics said Sunday citing gains housing food transportation telecommunications prices
inflation,2023-01-25,Reuters,South Korean consumers inflation expectations inch up in January Reuters,South Korean consumers inflation expectations inched January with sentiment toward economic conditions outlook also improving central bank survey showed Thursday
inflation,2023-02-01,Reuters,Colombia inflation rate seen rising again in January Reuters Canada,Colombia inflation forecast have increased again January pushed wage growth higher food gasoline prices Reuters poll showed Wednesday with analysts forecasting consumer price growth further
inflation,2023-02-01,Reuters,South Korea Jan inflation unexpectedly ticks up Reuters,South Korea consumer inflation ticked January three month high against economists expectations official data showed Thursday
inflation,2023-01-10,CNN,Investors wait to hear from Fed Chair Powell at central banking forum,Investors shifting their focus Tuesday from stock market Stockholm they await fairly rare public speaking appearance Federal Reserve Chairman Jerome Powell
inflation,2023-01-18,The Guardian,How will drop in inflation affect plans to raise UK interest rates,Bank England must proceed with caution households still cutting back business confidence weak inflation dips slightly Baker Warburtons battles soaring food inflation There hope households across Brit
inflation,2023-01-18,Ctvnews.ca,Grocery inflation slows as fresh vegetable costs increase CTV News,Grocery inflation slows fresh vegetable costs increase News Inflation cooled December Canada potential recession looms Global News Dollar Lowest Since April After Producer Prices Report Bloombe
inflation,2023-01-18,CNN,Why Egypt is asking people to eat chicken feet,Egypt economic situation dire that government asking people chicken feet country suffering record currency crisis worst inflation five years making food expensive that many Egyptians longer afford chicken
inflation,2023-01-12,Reuters,VIEW India s Dec retail inflation eases to y y Reuters India,India annual href world india indias december retail inflation eases retail inflation December edged down from previous month remained within central bank comfort zone rate food price rises continued
inflation,2023-02-01,Reuters,Fed opts for small rate hikes expects to deliver ongoing increases Reuters,Federal Reserve href markets rates bonds expected deliver small rate hike keep anti inflation tilt raised target interest rate quarter percentage point Wednesday continued promise ongoing increases
inflation,2023-01-10,Reuters,Egypt orders ministries to curb spending amid foreign currency crunch Reuters,Egypt government instructed ministries essential spending until fiscal year June tries cope with continuing pressure currency href world middle east egypts december inflation accelerates annual
inflation,2023-01-18,Reuters,UK finance minister We must stick to plan to bring down nightmare Reuters UK,British finance minister Jeremy Hunt welcomed href markets europe consumer price inflation december small inflation Wednesday said government needed stick plan take difficult decisions
inflation,2023-01-06,Reuters,Tokyo core CPI seen up in December new year high Reuters com,Consumer prices Japan capital likely rose December fastest pace nearly years Reuters poll economists showed Friday market looks href markets asia raise forecasts inflation gauge sources inflat
inflation,2023-01-24,Reuters,Breakingviews EU debt fears hinder U S green subsidies riposte Reuters,European Union under enormous pressure push back against Inflation Reduction vast array clean technology href https bipartisanpolicy blog inflation reduction summary energy climate provisions target blank
inflation,2023-01-05,StockNews.com,Stocks to Be Sure to Avoid This Week,Last year been painful stock market rampant inflation rate hikes where most tech stocks bore brunt massive selloffs With elevated inflation
inflation,2023-01-17,StockNews.com,Stocks That Can Help Keep Your Retirement Account Safe,Although seven interest rate hikes were able cool inflation last three months central bank remains committed achieving inflation target
inflation,2023-01-25,StockNews.com,Stable Stocks to Buy This Week for Under,Despite headline inflation cooling down will likely continue raising interest rates meet inflation target Moreover earnings estimated have declined
inflation,2023-01-31,StockNews.com,Best Stocks to Buy Right Now Large Caps to Watch this Week,Although inflation cooled down over past months intends keep raising interest rates until inflation falls desired level This expected push
inflation,2023-01-13,StockNews.com,Stocks With the Best Value to Buy Right Now,inflation cooled down December marking sixth consecutive month slowing annual inflation market expects slower rate hikes ahead Hence investors should consider fundamentally strong stocks Mosaic
inflation,2023-01-18,The Guardian,Bloody hard work baker Warburtons battles soaring food inflation,Family business says high bills energy wheat causing friction customers experience cost living crisis inflation dips slightly north London industrial estate smell freshly baked bread cuts through
inflation,2023-01-18,The Guardian,UK inflation fall masks continued price rise pain for households,Prices everyday items still outstripping December inflation rate with alcoholic drinks jumping inflation rate fell second month December dropping households remain under pressure prices contin
inflation,2023-01-12,The Guardian,Rail strikes Mick Lynch expecting way below inflation pay offer,Mick Lynch meets Rail Delivery Group effort break deadlock over politics live latest news updates leader Mick Lynch said expects rail bosses present offer below inflation arrived meet
inflation,2023-01-25,Entrepreneur,If You re in One of These States You ll Pay Less in Taxes This Year,cuts come amid high inflation economic uncertainty
inflation,2023-02-04,Engadget,Tesla raises Model Y pricing following federal tax credit change,Tesla quietly raised price best selling Model crossover Saturday automaker website lists Long Range Performance models respectively former that represents increase from
inflation,2023-01-09,The Guardian,Bank of England warns high inflation could last longer than expected,Chief economist says risks remain despite fall wholesale energy prices brink recessionThe Bank England chief economist warned high rates inflation could persist longer than expected despite fall wholesale energy prices
inflation,2023-01-05,Reuters,Fed s Bullard says may be year inflation surge wilts Reuters,Louis Federal Reserve leader James Bullard said Thursday year could finally bring some welcome relief inflation front
inflation,2023-01-12,Reuters,Pessimism among UK consumers perks up as inflation peaks poll Reuters,British consumers turned little less pessimistic December inflation started fall back from historic highs survey published Thursday showed
inflation,2023-01-17,Reuters,Factbox European companies cut jobs as economy sputters Reuters,Decades high inflation impact Ukraine have forced companies across Europe into offs hiring freezes
inflation,2023-01-16,Reuters,Bank of Israel worried looser fiscal policy could stop inflation from Reuters,Bank Israel policymakers expressed concern that government will boost spending much harm ability return inflation annual target
inflation,2023-01-26,Reuters,Abu Dhabi s ADX expects increased listings this year Reuters,Dhabi stock exchange expects increase listings this year even global economies grapple with high inflation rising interest rates chairman said
inflation,2023-01-31,Reuters,U S labor costs growth slows in fourth quarter Reuters,labor costs increased less than expected fourth quarter wage growth slowed offering boost Federal Reserve fight against inflation
inflation,2023-01-10,Reuters,Philippines c bank chief sees inflation closer to in late Reuters,Philippine inflation likely closer late central bank governor Felipe Medalla said Tuesday
inflation,2023-01-12,Reuters,Euro hits month high European shares briefly drop after U S CPI Reuters,euro seven month high European government bond yields briefly trimmed falls European shares dipped after data showed easing inflation December
inflation,2023-01-13,Reuters,Sterling rises after UK economy beats expectations Reuters com,pound rose Friday against both dollar euro after data showed inflation cooled December British economy beat expectations November
inflation,2023-01-19,Reuters,Turnover in Germany s restaurants hotels rose markedly in Reuters,Turnover accommodation food services Germany rose strongly compared with despite high inflation federal statistics office said Thursday
inflation,2023-01-20,Reuters,Swiss National Bank chairman says focus on price stability Reuters,Fighting inflation ensuring price stability absolutely essential Swiss National Bank Chairman Thomas Jordan told panel World Economic Forum Davos
inflation,2023-01-29,Reuters,Gulf stocks rise on hope of slower Fed rate hikes Reuters com,Stock markets Gulf ended higher Sunday after cooling inflation lifted expectations Federal Reserve would slow pace interest rate hikes
inflation,2023-01-13,Reuters,INDIA RUPEE Rupee rises after benign U S inflation print forward Reuters com,Indian rupee rose against dollar Friday following another fall inflation rate while forward premiums rose their highest level months
inflation,2023-01-26,Reuters,German inflation rate to ease over course of econ minister Reuters,German inflation will remain high beginning before easing over course year Economy Minister Robert Habeck said Thursday
inflation,2023-02-02,Reuters,German exports down by in December Reuters,German exports fell more than expected December high inflation market uncertainty continued weigh Europe largest economy despite fading supply chain problems
inflation,2023-01-06,CNN,What to expect from the jobs report,latest monthly jobs report released expected show that economy added jobs December with unemployment rate holding steady third straight month
inflation,2023-01-18,Reuters,Irish finance minister sees inflation falling quite quickly in Reuters,Inflation Ireland appears have peaked should fall quite quickly across remainder year Finance Minister Michael McGrath said Wednesday
oil prices,2023-01-27,CNN,Chevron earnings soar to a record,Chevron reported record full year profit billion buoyed high prices
oil prices,2023-01-13,Reuters,UAE bourses track oil prices higher Reuters com,Stock exchanges United Arab Emirates rose Friday line with prices global equities hopes demand growth importer China boosted investor sentiment slowing inflation trend United States eased aggressive rate hike
oil prices,2023-01-25,Reuters,Oil rebounds as China demand recovery optimism supports prices Reuters,Crude prices rebounded Wednesday demand recovery hopes importer China following exit from COVID pandemic curbs provided support after prices dropped previous session concerns about global economic growth
oil prices,2023-01-23,Reuters,Oil prices fall but remain buoyed by China outlook Reuters,prices drifted lower early trade Monday thinned Lunar Year holiday east Asia held most last week gains prospect economic recovery importer China this year
oil prices,2023-01-17,Reuters,Oil prices slip on global recession gloom Reuters,prices fell early trade Tuesday recession fears dominated headlines World Economic Forum meeting Davos draining optimism that stoked market last week prospects fuel demand recovery importer China
oil prices,2023-01-31,Reuters,Most Gulf bourses decline tracking oil prices Dubai gains Reuters,Most major stock markets Gulf fell early trade Tuesday tandem with prices Asian peers investors were cautious ahead major central bank meetings this week while Dubai bucked trend
oil prices,2023-01-06,Reuters,Oil prices extend gains on lower U S fuel inventories Reuters,prices rose around Friday extending gains from previous trading session after data showed lower fuel inventories following winter storm that United States year
oil prices,2023-01-06,Reuters,Russian rouble advances vs dollar euro in light holiday trade Reuters com,Russia rouble rose against dollar euro Friday prices lifted during thin holiday trading
oil prices,2023-02-01,Reuters,Oil rises as U S recession fears ease and dollar slips Reuters,prices climbed Wednesday underpinned weaker dollar which fell signs slowing inflation United States easing fears that world largest user face recession because further interest rate hikes
oil prices,2023-01-11,Reuters,Oil slips as U S crude fuel inventories reignite demand concerns Reuters,prices fell Wednesday erasing previous session gains after industry data showed unexpected build crude fuel inventories United States world biggest user which reignited worries about fuel demand
oil prices,2023-01-12,Reuters,Russian budget revenues from oil taxes drop to lowest since March Reuters,Russian state budget revenue from taxes declined December billion roubles billion lowest since March according data from Finance Ministry following slide prices
oil prices,2023-01-26,Reuters,Oil edges up as U S crude inventories rise less than expected Reuters,prices were early Asian trade Thursday crude stocks rose less than expected while weaker dollar made cheaper American buyers
oil prices,2023-01-18,CNN,Global oil demand could hit record high as China reopens,Global demand expected highest ever level this year back China swift reopening economy
oil prices,2023-01-27,Reuters,India s Vedanta profit plummets on soft metal prices Reuters com,Indian metals conglomerate Vedanta href https reuters companies VDAN target blank VDAN reported near drop third quarter profit Friday fall commodity prices
oil prices,2023-01-19,Reuters,Japan crude import volume up first y y rise in yrs Reuters com,Japan customs cleared crude imports rose from year earlier while value imported crude jumped trillion soaring prices weaker Ministry Finance said Thursday
oil prices,2023-02-02,Reuters,Oil prices rise after U S Fed hikes rates weakening the dollar Reuters,prices rose early Asian trade Thursday after Federal Reserve raised interest rates basis points sending dollar lower
oil prices,2023-01-10,Reuters,Column China s reopening isn t a one way bullish street for crude Reuters,There rather simple narrative gaining currency crude market that China opening from COVID bullish prices
oil prices,2023-01-09,Reuters,Column Hedge fund petroleum buying paused over year end Kemp Reuters com,Rallying prices steam just before year investors turned cautious after weeks heavy petroleum buying
oil prices,2023-01-26,Reuters,Abu Dhabi leads fall in Gulf markets Saudi stocks rise Reuters,Dhbai stock market slid Thursday weak earnings from heavyweight companies while Saudi Arabian shares ended higher amid firm prices
oil prices,2023-01-16,Reuters,Column Bullishness on oil ebbs at start of Reuters,bullishness about petroleum prices which flooded through parts investment community ebbed first full week concerns mounted about global economy China coronavirus wave
oil prices,2023-01-18,Reuters,Goldman sees modest downside risk to oil prices from steady Reuters,Goldman Sachs Wednesday said that current resilience Russian production sustained places only moderate downside risk about barrel bullish average Brent forecast barrel
oil prices,2023-01-12,Reuters,Most Gulf markets rise on higher oil prices U S rate hopes Reuters,Most major Gulf equities closed higher Thursday tracking global peers prices higher optimism over China demand outlook hopes smaller rate rises United States
oil prices,2023-01-18,Reuters,Saudi bourse gains on rising oil prices Qatar extends losses Reuters,Saudi Arabia stock market rose early trade Wednesday tracking prices higher optimism over China recovery although Qatari index course extend losses sixth session
oil prices,2023-01-10,Reuters,Russia works on measures to curb discounts on its oil prices Reuters,Russian energy ministry said Tuesday been working additional measures limit discounts international benchmarks Russian prices after West imposed price caps
oil prices,2023-01-22,Reuters,Major Gulf stocks rise on higher oil prices China demand prospects Reuters,Most major Gulf markets ended higher Sunday reflecting Friday rise prices driven prospects that upbeat economic growth outlook from China could signal increased fuel demand world second largest economy
oil prices,2023-01-30,Reuters,India s Bharat Petroleum posts lower Q profit on stagnant retail prices Reuters,Indian marketing company Bharat Petroleum Corp href https reuters companies BPCL target blank BPCL reported fall quarterly profit Monday hurt losses stagnant pump prices
oil prices,2023-01-10,Reuters,OPEC pricing power limits downside risks to oil prices Goldman says Reuters,Goldman Sachs expects that growing ability Organization Petroleum Exporting Countries OPEC raise prices without hurting demand much will limit downside risks bullish forecast
oil prices,2023-01-25,Reuters,Hess profit tops Wall St estimates on higher crude prices Reuters,producer Hess Corp href https reuters companies target blank Wednesday beat Wall Street estimates fourth quarter profit boosted higher crude prices Russia invasion Ukraine crimped global energ
oil prices,2023-01-27,Reuters,Oil prices edge up on strong U S economic data Chinese demand Reuters,prices edged marginally higher Friday extending second session strong economic data strengthening hope that reopening Chinese economy would boost demand
oil prices,2023-01-31,Reuters,Factbox Bumper profits fuel surge in dividends buybacks at oil firms Reuters,Energy firms using chunk their bumper quarterly profits from surging natural fuel prices reward shareholders with higher dividends share buybacks
oil prices,2023-02-01,Reuters,S Oil expects regional refining margins to stay elevated in Reuters,South Korea href https reuters companies target blank said Wednesday sees regional refining margins remaining elevated over levels though company posted loss fourth quart
oil prices,2023-01-16,Reuters,Oil dips but hovers near highs on China demand optimism Reuters com,prices dipped early Asian trade Monday held close highest levels since start year optimism that China reopening will lift fuel demand world crude importer
oil prices,2023-01-18,Reuters,Oil production picking up in second largest U S shale field Reuters,production South Texas home second largest shale field expected rise much this year higher prices spur more drilling crude exports records
oil prices,2023-01-18,Reuters,Exclusive U S energy chief warns Republicans that oil bill would Reuters,Energy Secretary Jennifer Granholm warned Republicans letter seen Reuters Wednesday that limiting President Biden authority nation reserves would undermine national security cause crude shortages raise gasoline pric
oil prices,2023-01-19,Reuters,Oil down on another surprise build in U S crude stocks Reuters,prices fell Thursday after industry data showed large unexpected increase crude stocks second week heightening concerns drop fuel demand
oil prices,2023-01-25,Reuters,Commercial Bank leads Qatar shares higher Saudi falls on profit Reuters,Most stock exchanges Gulf region rose early trade Wednesday tracking firm global equities stability prices expectations fuel demand recovery world importer China boosted sentiment
oil prices,2023-01-23,Reuters,Physical oil market starts year with a rally on China demand Russia Reuters,Crude prices much world physical markets have started year with rally amid signs more buying from China after eased COVID restrictions concern that sanctions Russia could tighten supply
oil prices,2023-01-20,Reuters,Indian shares set for muted start on rate hike concerns Reuters com,Indian stocks were muted start Friday tracking slide global equities fears aggressive stance global central banks rise prices
oil prices,2023-01-30,Reuters,Oil climbs after drone attack in Iran China s pledge to promote Reuters com,prices climbed early Asia trade Monday supported tensions Middle East following drone attack Iran Beijing pledged over weekend promote consumption recovery which would support fuel demand
oil prices,2023-02-01,Reuters,Most Gulf markets rebound on easing inflation Saudi stocks fall Reuters,Most Gulf bourses rose early trade Wednesday tracking crude prices global equities slowdown labour costs lifted expectations that Federal Reserve might hint later ending interest rate hikes
oil prices,2023-01-24,Reuters,Oil rises slightly focus on China demand and U S outlook Reuters,Crude prices rose slightly early Asian trade Tuesday market focused prospects demand recovery from importer China global economic outlook ahead company earnings
oil prices,2023-01-13,Reuters,Analysis Russia may hike taxes as military spending oil price weigh Reuters,Russia becoming dependent revenues support budget ramps military spending economists said warning that government have raise taxes prices crude fail meet expectations this year
oil prices,2023-01-31,Reuters,Indian Oil Corp Q profit slumps on loss in fuel sales Reuters,Indian Corp href https reuters companies target blank country refiner reported fall third quarter profit Tuesday hurt static pump prices higher costs foreign exchange losse
oil prices,2023-01-10,Business Insider,Russia looks to crack down on its oil discount as plunging revenues blow up budget deficit,Russia plans international crude prices stave fallout from price that widening Kremlin budget deficit
oil prices,2023-01-10,Business Insider,An oil historian explains China s impact on a key Russian oil product which is now trading far below the EU s price cap,Insider Phil Rosen sits down with historian Greg Brewer break down softening global market impacting Russian crude prices
oil prices,2023-01-13,Reuters,Indonesia palm oil export curbs biodiesel plans to hit world vegoil Reuters com,move palm exporter Indonesia restrict shipments boost domestic biodiesel consumption squeeze global vegetable supplies already undercut lower output Southeast Asia Latin America
oil prices,2023-01-06,The Guardian,UK petrol and diesel retailers accused of not passing on falling oil prices to drivers,Already under scrutiny from competition watchdog sector faces further calls slash pump pricesPressure mounting petrol station owners slash fuel prices after accusations passing falling wholesale costs drivers average price
oil prices,2023-01-25,Reuters,U S oil refining margins hit month high as plant outages rise Reuters,refining margins Tuesday three month high likely headed higher analysts said unplanned refinery outages weigh already tight fuel supplies
oil prices,2023-01-20,Reuters,German producer prices rose in December but at slower pace Reuters,German producer prices rose December slower rate than previous month inflation eases Europe largest economy part lower energy prices according data released Friday
oil prices,2023-01-23,Reuters,January oil loadings from Russia s Baltic ports set to jump vs Dec Reuters,Urals KEBCO crude loadings from Russia Baltic ports Primorsk Luga January rise from December sellers meet strong demand Asia benefit from rising global energy prices traders said Reuters calculat
oil prices,2023-01-27,Business Insider,Goldman Sachs sees oil prices heading to a barrel by the third quarter of amid China reopening,Goldman Sachs analyst Nikhil Bhandari said China reopening could million barrels demand market
oil prices,2023-01-29,Reuters,Pakistan govt lifts petrol diesel prices by rupees a litre Reuters com,Pakistan ministry finance announced Sunday petrol diesel prices would rise rupees litre after country currency value plummeted this week when price caps were removed
oil prices,2023-01-24,Business Insider,Oil s bull story for is China s reopening but that could be derailed if Beijing can t stay the course on its retreat from zero COVID policy RBC s Helima Croft says,Chinese people traveling more imports rising that trend real bull story this year Croft told CNBC
oil prices,2023-01-16,Reuters,Column China didn t drive commodity markets in It may in Reuters com,China commodity trade data shows that prices volumes weren driven world biggest buyer natural resources question whether will China reassert dominance main driver commodity markets
